SETTINGS
wifi_scan_aggregated_interval	0x1A	wifi
wifi_scan_interval	0x19	wifi
wifi_scan_report_zero_connections_found	0x48	wifi

COMMANDS
name	id	category
cmd_aggregated_bt_scan	0xC9	commands
cmd_almanac_update	0xB6	commands
cmd_bt_disconnect	0xCB	commands
cmd_check_pin	0xC2	commands
cmd_clear_nvs	0xAB	commands
cmd_decouple_collar	0xCD	commands
cmd_disable_bt_th	0xC0	commands
cmd_disable_flash_th	0xBF	commands
cmd_fence_measure	0xC8	commands
cmd_flash_clear	0xBA	commands
cmd_flash_get_all	0xBB	commands
cmd_flash_get_from_head	0xBC	commands
cmd_get_ble_scan	0xB2	commands
cmd_get_flash_status	0xB3	commands
cmd_get_lr_satellite_data	0xB4	commands
cmd_get_mac	0xB7	commands
cmd_get_rf_scan	0xB0	commands
cmd_get_ublox_fix	0xB8	commands
cmd_get_ublox_satellite_data	0xB5	commands
cmd_get_wifi_scan	0xB1	commands
cmd_join	0xA0	commands
cmd_pause_rf_scan	0xC7	commands
cmd_read_all_lr_messages	0xC5	commands
cmd_reset	0xA1	commands
cmd_reset_gps	0xA6	commands
cmd_reset_initial_position	0xA9	commands
cmd_reset_initial_time	0xAA	commands
cmd_reset_lr	0xB9	commands
cmd_reset_to_def_settings	0xAC	commands
cmd_s_band_send	0xBD	commands
cmd_send_all_settings	0xA7	commands
cmd_send_all_val	0xA2	commands
cmd_send_bt_cmdq_results	0xCC	commands
cmd_send_lr_fix	0xAE	commands
cmd_send_lr_message	0xC4	commands
cmd_send_position	0xA5	commands
cmd_send_sat_buffer	0xC6	commands
cmd_send_single_setting	0xA8	commands
cmd_send_single_val	0xA3	commands
cmd_send_status	0xA4	commands
cmd_send_status_lr	0xAD	commands
cmd_send_timestamp	0xCE	commands
cmd_set_hibernation_mode	0xC3	commands
cmd_set_location_and_time	0xAF	commands
cmd_set_operation_mode_com_th	0xBE	commands
cmd_set_operation_mode_main_th	0xC1	commands
cmd_single_bt_scan	0xCA	commands
